Block,gen[B],kill[B],in[B],out[B]
B61,{},{},"{'D25', 'D67', 'D63', 'D56', 'D61', 'D87', 'D46', 'D5', 'D89', 'D11', 'D86', 'D65', 'D40', 'D77', 'D41', 'D23', 'D92', 'D57', 'D42', 'D88', 'D1', 'D24', 'D76', 'D58', 'D70', 'D43', 'D91', 'D93', 'D60', 'D66', 'D12', 'D4', 'D64', 'D74', 'D75', 'D73', 'D71', 'D53', 'D62', 'D90', 'D68', 'D45', 'D3', 'D44', 'D59'}","{'D24', 'D25', 'D76', 'D67', 'D63', 'D58', 'D70', 'D43', 'D56', 'D91', 'D93', 'D61', 'D60', 'D66', 'D87', 'D46', 'D5', 'D89', 'D12', 'D44', 'D11', 'D86', 'D65', 'D4', 'D40', 'D64', 'D74', 'D77', 'D75', 'D73', 'D71', 'D41', 'D53', 'D23', 'D62', 'D90', 'D68', 'D92', 'D57', 'D45', 'D42', 'D3', 'D88', 'D1', 'D59'}"
B62,"{'D67', 'D73', 'D71', 'D66', 'D72', 'D69', 'D70', 'D68'}","{'D63', 'D38', 'D61', 'D22', 'D87', 'D80', 'D5', 'D89', 'D84', 'D31', 'D11', 'D86', 'D65', 'D40', 'D17', 'D51', 'D32', 'D92', 'D79', 'D1', 'D78', 'D13', 'D76', 'D43', 'D91', 'D60', 'D12', 'D4', 'D30', 'D8', 'D74', 'D64', 'D75', 'D85', 'D50', 'D90', 'D45', 'D81', 'D9', 'D16', 'D39', 'D3', 'D59', 'D52', 'D25', 'D35', 'D2', 'D27', 'D56', 'D36', 'D28', 'D18', 'D10', 'D49', 'D46', 'D47', 'D55', 'D77', 'D33', 'D41', 'D26', 'D23', 'D54', 'D57', 'D42', 'D37', 'D14', 'D88', 'D24', 'D58', 'D82', 'D15', 'D6', 'D19', 'D21', 'D93', 'D83', 'D34', 'D7', 'D48', 'D53', 'D62', 'D29', 'D20', 'D44'}","{'D24', 'D25', 'D76', 'D67', 'D63', 'D58', 'D70', 'D43', 'D56', 'D91', 'D93', 'D61', 'D60', 'D66', 'D87', 'D46', 'D5', 'D89', 'D12', 'D44', 'D11', 'D86', 'D65', 'D4', 'D40', 'D64', 'D74', 'D77', 'D75', 'D73', 'D71', 'D41', 'D53', 'D23', 'D62', 'D90', 'D68', 'D92', 'D57', 'D45', 'D42', 'D3', 'D88', 'D1', 'D59'}","{'D67', 'D73', 'D71', 'D66', 'D72', 'D69', 'D70', 'D68'}"
B63,{},{},"{'D67', 'D73', 'D71', 'D66', 'D72', 'D69', 'D70', 'D68'}","{'D67', 'D73', 'D71', 'D66', 'D72', 'D69', 'D70', 'D68'}"
B64,{'D74'},"{'D28', 'D52', 'D83', 'D57', 'D8', 'D63', 'D71', 'D16', 'D42', 'D37', 'D50', 'D91', 'D32', 'D55'}","{'D67', 'D73', 'D71', 'D66', 'D72', 'D69', 'D70', 'D68'}","{'D74', 'D67', 'D73', 'D66', 'D72', 'D69', 'D70', 'D68'}"
B65,{},{},"{'D67', 'D74', 'D73', 'D71', 'D66', 'D72', 'D69', 'D70', 'D68'}","{'D67', 'D74', 'D73', 'D71', 'D66', 'D72', 'D69', 'D70', 'D68'}"
B66,{'D75'},"{'D21', 'D9', 'D29', 'D92', 'D64', 'D17', 'D72', 'D33', 'D2', 'D43', 'D84', 'D38', 'D19'}","{'D67', 'D74', 'D73', 'D71', 'D66', 'D72', 'D69', 'D70', 'D68'}","{'D74', 'D67', 'D75', 'D73', 'D71', 'D66', 'D69', 'D70', 'D68'}"
B67,{},{},"{'D74', 'D67', 'D75', 'D73', 'D71', 'D66', 'D69', 'D70', 'D68'}","{'D74', 'D67', 'D75', 'D73', 'D71', 'D66', 'D69', 'D70', 'D68'}"
B68,{'D76'},"{'D31', 'D56', 'D90', 'D49', 'D82', 'D41', 'D15', 'D70', 'D27', 'D62', 'D54', 'D51', 'D7', 'D36'}","{'D74', 'D67', 'D75', 'D73', 'D71', 'D66', 'D69', 'D70', 'D68'}","{'D76', 'D74', 'D67', 'D75', 'D71', 'D73', 'D66', 'D69', 'D68'}"
B69,{},{},"{'D76', 'D74', 'D67', 'D75', 'D73', 'D71', 'D66', 'D69', 'D70', 'D68'}","{'D76', 'D74', 'D67', 'D75', 'D73', 'D71', 'D66', 'D69', 'D70', 'D68'}"
B70,{'D77'},"{'D48', 'D81', 'D35', 'D30', 'D40', 'D61', 'D69', 'D26', 'D53', 'D89', 'D14', 'D6'}","{'D76', 'D74', 'D67', 'D75', 'D73', 'D71', 'D66', 'D69', 'D70', 'D68'}","{'D76', 'D74', 'D67', 'D75', 'D73', 'D71', 'D77', 'D66', 'D70', 'D68'}"
B71,{},{},"{'D24', 'D25', 'D76', 'D67', 'D63', 'D58', 'D70', 'D43', 'D56', 'D91', 'D93', 'D61', 'D60', 'D66', 'D87', 'D46', 'D5', 'D89', 'D12', 'D44', 'D11', 'D86', 'D65', 'D4', 'D40', 'D64', 'D74', 'D77', 'D75', 'D73', 'D71', 'D41', 'D53', 'D23', 'D62', 'D90', 'D68', 'D45', 'D57', 'D92', 'D42', 'D3', 'D88', 'D1', 'D59'}","{'D24', 'D25', 'D76', 'D67', 'D63', 'D58', 'D70', 'D43', 'D56', 'D91', 'D93', 'D61', 'D60', 'D66', 'D87', 'D46', 'D5', 'D89', 'D12', 'D44', 'D11', 'D86', 'D65', 'D4', 'D40', 'D64', 'D74', 'D77', 'D75', 'D73', 'D71', 'D41', 'D53', 'D23', 'D62', 'D90', 'D68', 'D45', 'D57', 'D92', 'D42', 'D3', 'D88', 'D1', 'D59'}"
B72,"{'D78', 'D81', 'D83', 'D85', 'D79', 'D82', 'D80', 'D84'}","{'D67', 'D63', 'D38', 'D61', 'D22', 'D69', 'D87', 'D5', 'D89', 'D31', 'D11', 'D86', 'D65', 'D40', 'D17', 'D51', 'D32', 'D92', 'D1', 'D13', 'D76', 'D70', 'D43', 'D91', 'D60', 'D66', 'D12', 'D4', 'D30', 'D8', 'D74', 'D64', 'D75', 'D73', 'D50', 'D90', 'D45', 'D9', 'D16', 'D39', 'D3', 'D59', 'D52', 'D25', 'D35', 'D2', 'D27', 'D56', 'D36', 'D28', 'D18', 'D10', 'D72', 'D49', 'D46', 'D47', 'D55', 'D77', 'D33', 'D41', 'D26', 'D23', 'D54', 'D57', 'D42', 'D37', 'D14', 'D88', 'D24', 'D58', 'D15', 'D6', 'D19', 'D21', 'D93', 'D34', 'D7', 'D48', 'D71', 'D53', 'D62', 'D68', 'D29', 'D20', 'D44'}","{'D24', 'D25', 'D76', 'D67', 'D63', 'D58', 'D70', 'D43', 'D56', 'D91', 'D93', 'D61', 'D60', 'D66', 'D87', 'D46', 'D5', 'D89', 'D12', 'D44', 'D11', 'D86', 'D65', 'D4', 'D40', 'D64', 'D74', 'D77', 'D75', 'D73', 'D71', 'D41', 'D53', 'D23', 'D62', 'D90', 'D68', 'D45', 'D57', 'D92', 'D42', 'D3', 'D88', 'D1', 'D59'}","{'D78', 'D81', 'D83', 'D85', 'D79', 'D82', 'D80', 'D84'}"
B73,"{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}","{'D67', 'D63', 'D38', 'D61', 'D22', 'D69', 'D80', 'D5', 'D84', 'D31', 'D11', 'D65', 'D40', 'D17', 'D51', 'D32', 'D79', 'D1', 'D78', 'D13', 'D76', 'D70', 'D43', 'D60', 'D66', 'D12', 'D4', 'D30', 'D8', 'D74', 'D64', 'D75', 'D73', 'D85', 'D50', 'D45', 'D81', 'D9', 'D16', 'D39', 'D3', 'D59', 'D52', 'D25', 'D35', 'D2', 'D27', 'D56', 'D36', 'D28', 'D18', 'D10', 'D72', 'D49', 'D46', 'D47', 'D55', 'D77', 'D33', 'D41', 'D26', 'D23', 'D54', 'D57', 'D42', 'D37', 'D14', 'D24', 'D58', 'D82', 'D15', 'D6', 'D19', 'D21', 'D83', 'D34', 'D7', 'D48', 'D71', 'D53', 'D62', 'D68', 'D29', 'D20', 'D44'}","{'D24', 'D25', 'D76', 'D67', 'D78', 'D63', 'D58', 'D82', 'D70', 'D43', 'D56', 'D91', 'D93', 'D83', 'D61', 'D60', 'D66', 'D87', 'D80', 'D46', 'D5', 'D89', 'D84', 'D12', 'D44', 'D11', 'D86', 'D65', 'D4', 'D40', 'D64', 'D74', 'D77', 'D75', 'D73', 'D71', 'D85', 'D41', 'D53', 'D23', 'D62', 'D90', 'D68', 'D45', 'D57', 'D92', 'D81', 'D79', 'D42', 'D3', 'D88', 'D1', 'D59'}","{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}"
B74,{},{},"{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}","{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}"
B75,{},{},"{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}","{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}"
B76,{},{},"{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}","{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}"
B77,{},{},"{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}","{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}"
B78,{},{},"{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}","{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}"
B79,{},{},"{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}","{'D93', 'D86', 'D92', 'D87', 'D91', 'D89', 'D88', 'D90'}"
