Block,gen[B],kill[B],in[B],out[B]
B24,{'D26'},"{'D48', 'D81', 'D35', 'D30', 'D40', 'D61', 'D77', 'D69', 'D53', 'D89', 'D14', 'D6'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16'}"
B25,{},{},"{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B26,{'D27'},"{'D31', 'D76', 'D90', 'D49', 'D82', 'D41', 'D15', 'D70', 'D56', 'D62', 'D54', 'D51', 'D7', 'D36'}","{'D24', 'D25', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B27,{},{},"{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B28,{'D28'},"{'D52', 'D83', 'D57', 'D8', 'D74', 'D63', 'D71', 'D16', 'D42', 'D37', 'D50', 'D91', 'D32', 'D55'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D28', 'D21', 'D24', 'D10', 'D25', 'D9', 'D29', 'D22', 'D2', 'D26', 'D23', 'D14', 'D27', 'D6'}"
B29,{},{},"{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}"
B30,{'D29'},"{'D21', 'D9', 'D92', 'D64', 'D75', 'D17', 'D72', 'D33', 'D2', 'D43', 'D84', 'D38', 'D19'}","{'D24', 'D25', 'D8', 'D2', 'D26', 'D27', 'D23', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D14'}","{'D28', 'D24', 'D10', 'D25', 'D29', 'D8', 'D22', 'D16', 'D26', 'D23', 'D14', 'D27', 'D6'}"
B31,{},{},"{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B32,{},{},"{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B33,"{'D31', 'D30', 'D34', 'D33', 'D32'}","{'D52', 'D76', 'D35', 'D63', 'D82', 'D2', 'D15', 'D70', 'D43', 'D27', 'D56', 'D91', 'D38', 'D6', 'D19', 'D36', 'D28', 'D21', 'D18', 'D10', 'D83', 'D93', 'D61', 'D22', 'D72', 'D69', 'D49', 'D89', 'D84', 'D7', 'D55', 'D48', 'D8', 'D74', 'D40', 'D71', 'D64', 'D77', 'D17', 'D75', 'D65', 'D73', 'D85', 'D41', 'D26', 'D53', 'D50', 'D62', 'D54', 'D51', 'D90', 'D81', 'D57', 'D9', 'D29', 'D92', 'D16', 'D39', 'D20', 'D42', 'D37', 'D14', 'D44'}","{'D24', 'D11', 'D25', 'D4', 'D8', 'D2', 'D15', 'D26', 'D23', 'D27', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D22', 'D16', 'D60', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D31', 'D1', 'D24', 'D11', 'D25', 'D4', 'D30', 'D34', 'D60', 'D33', 'D3', 'D23', 'D5', 'D32', 'D12'}"
B34,{},{},"{'D24', 'D25', 'D2', 'D15', 'D27', 'D6', 'D28', 'D21', 'D10', 'D34', 'D22', 'D60', 'D5', 'D12', 'D31', 'D11', 'D4', 'D8', 'D30', 'D33', 'D26', 'D23', 'D32', 'D9', 'D29', 'D16', 'D3', 'D14', 'D1'}","{'D31', 'D24', 'D11', 'D25', 'D4', 'D8', 'D30', 'D33', 'D2', 'D15', 'D26', 'D27', 'D23', 'D32', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D34', 'D22', 'D60', 'D16', 'D3', 'D5', 'D14', 'D1', 'D12'}"
B35,"{'D35', 'D39', 'D37', 'D38', 'D36'}","{'D52', 'D76', 'D63', 'D82', 'D2', 'D15', 'D70', 'D43', 'D27', 'D56', 'D91', 'D6', 'D19', 'D28', 'D21', 'D18', 'D10', 'D83', 'D93', 'D61', 'D34', 'D22', 'D72', 'D69', 'D49', 'D89', 'D84', 'D7', 'D55', 'D31', 'D48', 'D8', 'D30', 'D40', 'D71', 'D74', 'D77', 'D17', 'D64', 'D75', 'D65', 'D73', 'D33', 'D41', 'D85', 'D26', 'D53', 'D50', 'D62', 'D54', 'D51', 'D90', 'D32', 'D81', 'D57', 'D9', 'D29', 'D92', 'D16', 'D20', 'D42', 'D14', 'D44'}","{'D31', 'D24', 'D11', 'D25', 'D4', 'D8', 'D30', 'D33', 'D2', 'D15', 'D26', 'D27', 'D23', 'D32', 'D6', 'D28', 'D21', 'D10', 'D9', 'D29', 'D34', 'D22', 'D60', 'D16', 'D3', 'D5', 'D14', 'D1', 'D12'}","{'D24', 'D11', 'D25', 'D35', 'D4', 'D39', 'D60', 'D12', 'D37', 'D3', 'D23', 'D5', 'D38', 'D1', 'D36'}"
B36,"{'D40', 'D42', 'D41', 'D43', 'D44'}","{'D52', 'D76', 'D35', 'D63', 'D82', 'D2', 'D15', 'D70', 'D27', 'D56', 'D91', 'D38', 'D6', 'D19', 'D36', 'D28', 'D21', 'D18', 'D10', 'D83', 'D93', 'D61', 'D34', 'D22', 'D72', 'D69', 'D49', 'D89', 'D84', 'D7', 'D55', 'D31', 'D48', 'D8', 'D30', 'D74', 'D71', 'D64', 'D77', 'D17', 'D75', 'D65', 'D73', 'D85', 'D33', 'D26', 'D53', 'D50', 'D62', 'D54', 'D51', 'D90', 'D32', 'D81', 'D57', 'D9', 'D29', 'D92', 'D16', 'D39', 'D20', 'D37', 'D14'}","{'D24', 'D11', 'D25', 'D35', 'D4', 'D39', 'D60', 'D12', 'D37', 'D3', 'D23', 'D5', 'D38', 'D1', 'D36'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D40', 'D60', 'D23', 'D42', 'D41', 'D43', 'D3', 'D5', 'D44', 'D12'}"
B37,{},{},"{'D24', 'D25', 'D43', 'D56', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D40', 'D41', 'D53', 'D23', 'D45', 'D57', 'D42', 'D3', 'D1'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D40', 'D41', 'D53', 'D43', 'D56', 'D23', 'D45', 'D57', 'D60', 'D42', 'D46', 'D3', 'D5', 'D44', 'D12'}"
B38,{},{},"{'D24', 'D25', 'D43', 'D56', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D40', 'D41', 'D53', 'D23', 'D45', 'D57', 'D42', 'D3', 'D1'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D40', 'D41', 'D53', 'D43', 'D56', 'D23', 'D45', 'D57', 'D60', 'D42', 'D46', 'D3', 'D5', 'D44', 'D12'}"
B39,"{'D60', 'D46', 'D45'}","{'D24', 'D78', 'D13', 'D67', 'D25', 'D58', 'D66', 'D87', 'D80', 'D47', 'D5', 'D12', 'D11', 'D86', 'D4', 'D23', 'D68', 'D79', 'D3', 'D88', 'D1', 'D59'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D40', 'D41', 'D53', 'D43', 'D56', 'D23', 'D45', 'D57', 'D60', 'D42', 'D46', 'D3', 'D5', 'D44', 'D12'}","{'D45', 'D57', 'D40', 'D60', 'D42', 'D46', 'D41', 'D53', 'D43', 'D56', 'D44'}"
B40,{},{},"{'D45', 'D57', 'D40', 'D60', 'D42', 'D46', 'D41', 'D53', 'D43', 'D56', 'D44'}","{'D45', 'D57', 'D40', 'D60', 'D42', 'D46', 'D41', 'D53', 'D43', 'D56', 'D44'}"
B41,{'D48'},"{'D81', 'D35', 'D30', 'D40', 'D61', 'D77', 'D69', 'D26', 'D53', 'D89', 'D14', 'D6'}","{'D45', 'D57', 'D40', 'D60', 'D42', 'D46', 'D41', 'D53', 'D43', 'D56', 'D44'}","{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}"
B42,{},{},"{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}","{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}"
B43,"{'D57', 'D56'}","{'D52', 'D76', 'D63', 'D82', 'D15', 'D70', 'D27', 'D91', 'D36', 'D28', 'D83', 'D49', 'D7', 'D55', 'D31', 'D8', 'D74', 'D71', 'D41', 'D50', 'D62', 'D90', 'D32', 'D54', 'D51', 'D16', 'D42', 'D37'}","{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}","{'D48', 'D45', 'D57', 'D60', 'D46', 'D43', 'D56', 'D44'}"
B44,{},{},"{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}","{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}"
B45,"{'D54', 'D55'}","{'D52', 'D76', 'D63', 'D82', 'D15', 'D70', 'D56', 'D27', 'D91', 'D36', 'D28', 'D83', 'D49', 'D7', 'D31', 'D8', 'D74', 'D71', 'D41', 'D50', 'D62', 'D90', 'D32', 'D51', 'D57', 'D16', 'D42', 'D37'}","{'D48', 'D45', 'D57', 'D60', 'D42', 'D46', 'D41', 'D43', 'D56', 'D44'}","{'D48', 'D45', 'D60', 'D46', 'D43', 'D54', 'D44', 'D55'}"
B46,{},{},"{'D48', 'D40', 'D41', 'D53', 'D43', 'D56', 'D54', 'D45', 'D57', 'D60', 'D42', 'D46', 'D44', 'D55'}","{'D48', 'D45', 'D57', 'D40', 'D60', 'D42', 'D41', 'D46', 'D53', 'D43', 'D56', 'D54', 'D44', 'D55'}"
B47,{'D53'},"{'D48', 'D81', 'D35', 'D30', 'D40', 'D61', 'D77', 'D69', 'D26', 'D89', 'D14', 'D6'}","{'D48', 'D45', 'D57', 'D40', 'D60', 'D42', 'D41', 'D46', 'D53', 'D43', 'D56', 'D54', 'D44', 'D55'}","{'D45', 'D57', 'D60', 'D42', 'D41', 'D46', 'D53', 'D43', 'D56', 'D54', 'D44', 'D55'}"
B48,{},{},"{'D45', 'D57', 'D60', 'D42', 'D41', 'D46', 'D53', 'D43', 'D56', 'D54', 'D44', 'D55'}","{'D45', 'D57', 'D60', 'D42', 'D41', 'D46', 'D53', 'D43', 'D56', 'D54', 'D44', 'D55'}"
B49,"{'D54', 'D55'}","{'D52', 'D76', 'D63', 'D82', 'D15', 'D70', 'D56', 'D27', 'D91', 'D36', 'D28', 'D83', 'D49', 'D7', 'D31', 'D8', 'D74', 'D71', 'D41', 'D50', 'D62', 'D90', 'D32', 'D51', 'D57', 'D16', 'D42', 'D37'}","{'D45', 'D57', 'D60', 'D42', 'D41', 'D46', 'D53', 'D43', 'D56', 'D54', 'D44', 'D55'}","{'D45', 'D60', 'D46', 'D53', 'D43', 'D54', 'D44', 'D55'}"
B50,{},{},"{'D41', 'D53', 'D43', 'D56', 'D54', 'D45', 'D57', 'D60', 'D42', 'D46', 'D44', 'D55'}","{'D45', 'D57', 'D60', 'D42', 'D41', 'D46', 'D53', 'D43', 'D56', 'D54', 'D44', 'D55'}"
