Block,gen[B],kill[B],in[B],out[B]
B102,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B103,{'D21'},{},"{'D7', 'D18', 'D17', 'D15', 'D3', 'D21', 'D5', 'D8', 'D4', 'D10', 'D14', 'D6', 'D20', 'D16', 'D13', 'D9', 'D12', 'D11', 'D19'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B104,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B105,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B106,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B107,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B108,{},{},"{'D7', 'D18', 'D17', 'D15', 'D21', 'D3', 'D5', 'D8', 'D4', 'D10', 'D14', 'D6', 'D20', 'D16', 'D13', 'D9', 'D12', 'D11', 'D19'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B109,{},{},"{'D7', 'D18', 'D17', 'D15', 'D21', 'D3', 'D5', 'D8', 'D4', 'D10', 'D14', 'D6', 'D20', 'D16', 'D13', 'D9', 'D12', 'D11', 'D19'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B110,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B111,{},{},"{'D7', 'D18', 'D17', 'D15', 'D21', 'D3', 'D5', 'D8', 'D4', 'D10', 'D14', 'D6', 'D20', 'D16', 'D13', 'D9', 'D12', 'D11', 'D19'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B112,{},{},"{'D7', 'D18', 'D17', 'D15', 'D21', 'D3', 'D5', 'D8', 'D4', 'D10', 'D14', 'D6', 'D20', 'D16', 'D13', 'D9', 'D12', 'D11', 'D19'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D21', 'D3', 'D5', 'D8', 'D4', 'D19', 'D10'}"
